	1	2	3	4	5	6	7	8	9	10	12	14	15	16	18	20	30	40	60	120
2	18.51	19.00	19.16	19.25	19.30	19.33	19.35	19.37	19.38	19.40	19.41	19.42	19.43	19.43	19.44	19.45	19.46	19.47	19.48	19.49
3	10.13	9.55	9.28	9.12	09.01	8.94	8.89	8.85	8.81	8.79	8.74	8.71	8.70	8.69	8.67	8.66	8.62	8.59	8.57	8.55
4	7.71	6.94	6.59	6.39	6.26	6.16	06.09	06.04	6.00	5.96	5.91	5.87	5.86	5.84	5.82	5.80	5.75	5.72	5.69	5.66
5	6.61	5.79	5.41	5.19	05.05	4.95	4.88	4.82	4.77	4.74	4.68	4.64	4.62	4.60	4.58	4.56	4.50	4.46	4.43	4.40
6	5.99	5.14	4.76	4.53	4.39	4.28	4.21	4.15	4.10	04.06	4.00	3.96	3.94	3.92	3.90	3.87	3.81	3.77	3.74	3.70
7	5.59	4.74	4.35	4.12	3.97	3.87	3.79	3.73	3.68	3.64	3.57	3.53	3.51	3.49	3.47	3.44	3.38	3.34	3.30	3.27
8	5.32	4.46	04.07	3.84	3.69	3.58	3.50	3.44	3.39	3.35	3.28	3.24	3.22	3.20	3.17	3.15	03.08	03.04	03.01	2.97
9	5.12	4.26	3.86	3.63	3.48	3.37	3.29	3.23	3.18	3.14	03.07	03.03	03.01	2.99	2.96	2.94	2.86	2.83	2.79	2.75
10	4.96	4.10	3.71	3.48	3.33	3.22	3.14	03.07	03.02	2.98	2.91	2.86	2.85	2.83	2.80	2.77	2.70	2.66	2.62	2.58
11	4.84	3.98	3.59	3.36	3.20	03.09	03.01	2.95	2.90	2.85	2.79	2.74	2.72	2.70	2.67	2.65	2.57	2.53	2.49	2.45
12	4.75	3.89	3.49	3.26	3.11	3.00	2.91	2.85	2.80	2.75	2.69	2.64	2.62	2.60	2.57	2.54	2.47	2.43	2.38	2.34
13	4.67	3.81	3.41	3.18	03.03	2.92	2.83	2.77	2.71	2.67	2.60	2.55	2.53	2.51	2.48	2.46	2.38	2.34	2.30	2.25
14	4.60	3.74	3.34	3.11	2.96	2.85	2.76	2.70	2.65	2.60	2.53	2.48	2.46	2.44	2.41	2.39	2.31	2.27	2.22	2.18
15	4.54	3.68	3.29	03.06	2.90	2.79	2.71	2.64	2.59	2.54	2.48	2.42	2.40	2.38	2.35	2.33	2.25	2.20	2.16	2.11
16	4.49	3.63	3.24	03.01	2.85	2.74	2.66	2.59	2.54	2.49	2.42	2.37	2.35	2.33	2.30	2.28	2.19	2.15	2.11	02.06
17	4.45	3.59	3.20	2.96	2.81	2.70	2.61	2.55	2.49	2.45	2.38	2.33	2.31	2.29	2.26	2.23	2.15	2.10	02.06	02.01
18	4.41	3.55	3.16	2.93	2.77	2.66	2.58	2.51	2.46	2.41	2.34	2.29	2.27	2.25	2.22	2.19	2.11	02.06	02.02	1.97
19	4.38	3.52	3.13	2.90	2.74	2.63	2.54	2.48	2.42	2.38	2.31	2.26	2.23	2.21	2.18	2.16	02.07	02.03	1.98	1.93
20	4.35	3.49	3.10	2.87	2.71	2.60	2.51	2.45	2.39	2.35	2.28	2.22	2.20	2.18	2.15	2.12	02.04	1.99	1.95	1.90
21	4.32	3.47	03.07	2.84	2.68	2.57	2.49	2.42	2.37	2.32	2.25	2.20	2.18	2.16	2.12	2.10	02.01	1.96	1.92	1.87
22	4.30	3.44	03.05	2.82	2.66	2.55	2.46	2.40	2.34	2.30	2.23	2.17	2.15	2.13	2.10	02.07	1.98	1.94	1.89	1.84
23	4.28	3.42	03.03	2.80	2.64	2.53	2.44	2.37	2.32	2.27	2.20	2.15	2.13	2.11	02.08	02.05	1.96	1.91	1.86	1.81
24	4.26	3.40	03.01	2.78	2.62	2.51	2.42	2.36	2.30	2.25	2.18	2.13	2.11	02.09	02.05	02.03	1.94	1.89	1.84	1.79
25	4.24	3.39	2.99	2.76	2.60	2.49	2.40	2.34	2.28	2.24	2.16	2.11	02.09	02.07	02.04	02.01	1.92	1.87	1.82	1.77
26	4.23	3.37	2.98	2.74	2.59	2.47	2.39	2.32	2.27	2.22	2.15	02.09	02.07	02.05	02.02	1.99	1.90	1.85	1.80	1.75
27	4.21	3.35	2.96	2.73	2.57	2.46	2.37	2.31	2.25	2.20	2.13	02.08	02.06	02.04	2.00	1.97	1.88	1.84	1.79	1.73
28	4.20	3.34	2.95	2.71	2.56	2.45	2.36	2.29	2.24	2.19	2.12	02.06	02.04	02.02	1.99	1.96	1.87	1.82	1.77	1.71
29	4.18	3.33	2.93	2.70	2.55	2.43	2.35	2.28	2.22	2.18	2.10	02.05	02.03	02.01	1.97	1.94	1.85	1.81	1.75	1.70
30	4.17	3.32	2.92	2.69	2.53	2.42	2.33	2.27	2.21	2.16	02.09	02.04	02.01	1.99	1.96	1.93	1.84	1.79	1.74	1.68
40	04.08	3.23	2.84	2.61	2.45	2.34	2.25	2.18	2.12	02.08	2.00	1.95	1.92	1.90	1.87	1.84	1.74	1.69	1.64	1.58
60	4.00	3.15	2.76	2.53	2.37	2.25	2.17	2.10	02.04	1.99	1.92	1.86	1.84	1.82	1.78	1.75	1.65	1.59	1.53	1.47
120	3.92	03.07	2.68	2.45	2.29	2.18	02.09	02.02	1.96	1.91	1.83	1.78	1.75	1.73	1.69	1.66	1.55	1.50	1.43	1.35
